"IndividualId","Time [min]","Organism|A|Concentration [µmol/l]"
0,0,1
0,15,1.050557
0,30,1.099915
0,45,1.148041
0,60,1.194963
0,75,1.240699
0,90,1.28528
0,105,1.328736
0,120,1.371085
0,135,1.412371
0,150,1.452608
0,165,1.491805
0,180,1.530013
0,195,1.567242
0,210,1.603516
0,225,1.638872
0,240,1.673331
0,255,1.706918
0,270,1.739654
0,285,1.771565
0,300,1.802672
0,315,1.832989
0,330,1.862543
0,345,1.89135
0,360,1.919426
0,375,1.946792
0,390,1.973465
0,405,1.999461
0,420,2.0248
0,435,2.049494
0,450,2.07356
0,465,2.097017
0,480,2.119882
0,495,2.142163
0,510,2.16388
0,525,2.185047
0,540,2.205682
0,555,2.22579
0,570,2.245387
0,585,2.264491
0,600,2.283114
0,615,2.301261
0,630,2.318949
0,645,2.33619
0,660,2.352997
0,675,2.369376
0,690,2.385339
0,705,2.4009
0,720,2.416069
0,735,2.430851
0,750,2.445258
0,765,2.459302
0,780,2.472993
0,795,2.486334
0,810,2.499337
0,825,2.512011
0,840,2.524367
0,855,2.536408
0,870,2.548143
0,885,2.559582
0,900,2.570734
0,915,2.581601
0,930,2.592192
0,945,2.602516
0,960,2.61258
0,975,2.622388
0,990,2.631947
0,1005,2.641264
0,1020,2.650347
0,1035,2.659199
0,1050,2.667826
0,1065,2.676235
0,1080,2.684433
0,1095,2.692421
0,1110,2.700207
0,1125,2.707797
0,1140,2.715196
0,1155,2.722405
0,1170,2.729432
0,1185,2.736282
0,1200,2.742959
0,1215,2.749466
0,1230,2.755808
0,1245,2.76199
0,1260,2.768017
0,1275,2.773889
0,1290,2.779613
0,1305,2.785192
0,1320,2.790631
0,1335,2.795932
0,1350,2.801097
0,1365,2.806133
0,1380,2.811041
0,1395,2.815825
0,1410,2.820487
0,1425,2.825032
0,1440,2.829462
1,0,2
1,15,2.076252
1,30,2.150697
1,45,2.223275
1,60,2.29405
1,75,2.362998
1,90,2.430242
1,105,2.495737
1,120,2.559597
1,135,2.621808
1,150,2.682448
1,165,2.741535
1,180,2.799116
1,195,2.855235
1,210,2.909918
1,225,2.963252
1,240,3.015215
1,255,3.065821
1,270,3.115125
1,285,3.163192
1,300,3.210018
1,315,3.255632
1,330,3.300072
1,345,3.343379
1,360,3.385576
1,375,3.426695
1,390,3.466762
1,405,3.5058
1,420,3.543845
1,435,3.580924
1,450,3.617058
1,465,3.652264
1,480,3.686575
1,495,3.720018
1,510,3.75261
1,525,3.784366
1,540,3.815315
1,555,3.84548
1,570,3.874878
1,585,3.903522
1,600,3.931439
1,615,3.958648
1,630,3.985166
1,645,4.011003
1,660,4.036183
1,675,4.060726
1,690,4.084644
1,705,4.107949
1,720,4.130661
1,735,4.152798
1,750,4.174371
1,765,4.195392
1,780,4.215878
1,795,4.235845
1,810,4.255303
1,825,4.274263
1,840,4.292741
1,855,4.310751
1,870,4.328302
1,885,4.345403
1,900,4.36207
1,915,4.378314
1,930,4.394145
1,945,4.40957
1,960,4.424603
1,975,4.439255
1,990,4.453534
1,1005,4.467446
1,1020,4.481006
1,1035,4.494221
1,1050,4.507101
1,1065,4.51965
1,1080,4.53188
1,1095,4.5438
1,1110,4.555417
1,1125,4.566736
1,1140,4.577767
1,1155,4.588519
1,1170,4.598997
1,1185,4.609206
1,1200,4.619156
1,1215,4.628854
1,1230,4.638305
1,1245,4.647514
1,1260,4.656488
1,1275,4.665236
1,1290,4.67376
1,1305,4.682066
1,1320,4.690161
1,1335,4.69805
1,1350,4.705739
1,1365,4.713231
1,1380,4.720532
1,1395,4.727649
1,1410,4.734584
1,1425,4.741342
1,1440,4.747927
2,0,3
2,15,3.102242
2,30,3.202053
2,45,3.299345
2,60,3.394219
2,75,3.486638
2,90,3.576736
2,105,3.664514
2,120,3.750043
2,135,3.833401
2,150,3.914585
2,165,3.993738
2,180,4.070801
2,195,4.145956
2,210,4.219131
2,225,4.290477
2,240,4.360017
2,255,4.427747
2,270,4.493689
2,285,4.55796
2,300,4.620583
2,315,4.68158
2,330,4.740988
2,345,4.798869
2,360,4.85526
2,375,4.910201
2,390,4.963731
2,405,5.015879
2,420,5.066686
2,435,5.116193
2,450,5.164439
2,465,5.21144
2,480,5.257233
2,495,5.301857
2,510,5.345347
2,525,5.387716
2,540,5.428997
2,555,5.469223
2,570,5.508429
2,585,5.546627
2,600,5.583847
2,615,5.620115
2,630,5.655456
2,645,5.689894
2,660,5.723451
2,675,5.75615
2,690,5.788013
2,705,5.819061
2,720,5.849314
2,735,5.878792
2,750,5.907515
2,765,5.935503
2,780,5.962773
2,795,5.989346
2,810,6.015236
2,825,6.040464
2,840,6.065046
2,855,6.088997
2,870,6.112335
2,885,6.135074
2,900,6.157231
2,915,6.178821
2,930,6.199857
2,945,6.220354
2,960,6.240326
2,975,6.259787
2,990,6.278749
2,1005,6.297225
2,1020,6.315228
2,1035,6.33277
2,1050,6.349863
2,1065,6.366517
2,1080,6.382745
2,1095,6.398558
2,1110,6.413965
2,1125,6.428977
2,1140,6.443606
2,1155,6.45786
2,1170,6.471747
2,1185,6.48528
2,1200,6.498466
2,1215,6.511314
2,1230,6.523833
2,1245,6.536031
2,1260,6.547916
2,1275,6.559498
2,1290,6.570782
2,1305,6.581778
2,1320,6.592491
2,1335,6.602931
2,1350,6.613102
2,1365,6.623013
2,1380,6.632671
2,1395,6.642081
2,1410,6.65125
2,1425,6.660184
2,1440,6.668889
3,0,1
3,15,1.051434
3,30,1.101624
3,45,1.150541
3,60,1.19821
3,75,1.244656
3,90,1.289905
3,105,1.333997
3,120,1.376939
3,135,1.418793
3,150,1.459559
3,165,1.499256
3,180,1.537932
3,195,1.575598
3,210,1.612284
3,225,1.648026
3,240,1.682846
3,255,1.716769
3,270,1.749819
3,285,1.782023
3,300,1.813398
3,315,1.843965
3,330,1.87375
3,345,1.902765
3,360,1.931034
3,375,1.958575
3,390,1.985406
3,405,2.011545
3,420,2.03701
3,435,2.061815
3,450,2.08598
3,465,2.109524
3,480,2.132461
3,495,2.154803
3,510,2.176569
3,525,2.197778
3,540,2.21844
3,555,2.238566
3,570,2.258174
3,585,2.27728
3,600,2.295895
3,615,2.314026
3,630,2.331692
3,645,2.348904
3,660,2.365674
3,675,2.382009
3,690,2.397923
3,705,2.41343
3,720,2.428538
3,735,2.443254
3,750,2.457592
3,765,2.471562
3,780,2.485173
3,795,2.49843
3,810,2.511347
3,825,2.523932
3,840,2.536195
3,855,2.548138
3,870,2.559775
3,885,2.571113
3,900,2.58216
3,915,2.59292
3,930,2.603403
3,945,2.613618
3,960,2.62357
3,975,2.633264
3,990,2.642708
3,1005,2.65191
3,1020,2.660876
3,1035,2.669609
3,1050,2.678117
3,1065,2.686408
3,1080,2.694485
3,1095,2.702352
3,1110,2.710017
3,1125,2.717486
3,1140,2.724763
3,1155,2.731851
3,1170,2.738756
3,1185,2.745485
3,1200,2.75204
3,1215,2.758425
3,1230,2.764647
3,1245,2.770708
3,1260,2.776614
3,1275,2.782367
3,1290,2.787971
3,1305,2.793432
3,1320,2.798753
3,1335,2.803935
3,1350,2.808984
3,1365,2.813904
3,1380,2.818697
3,1395,2.823366
3,1410,2.827915
3,1425,2.832347
3,1440,2.836665
4,0,2
4,15,2.077566
4,30,2.15326
4,45,2.227024
4,60,2.298919
4,75,2.368932
4,90,2.437178
4,105,2.503614
4,120,2.568377
4,135,2.631422
4,150,2.692867
4,165,2.752691
4,180,2.810985
4,195,2.867752
4,210,2.923069
4,225,2.97698
4,240,3.029475
4,255,3.080571
4,270,3.130354
4,285,3.178849
4,300,3.22607
4,315,3.272047
4,330,3.316828
4,345,3.360444
4,360,3.402924
4,375,3.444301
4,390,3.484597
4,405,3.523844
4,420,3.562077
4,435,3.599325
4,450,3.635598
4,465,3.67093
4,480,3.705351
4,495,3.738887
4,510,3.771545
4,525,3.803357
4,540,3.834349
4,555,3.864545
4,570,3.893954
4,585,3.922602
4,600,3.95051
4,615,3.977695
4,630,4.004179
4,645,4.029977
4,660,4.055109
4,675,4.079589
4,690,4.103437
4,705,4.126667
4,720,4.149295
4,735,4.171337
4,750,4.192808
4,765,4.213724
4,780,4.234097
4,795,4.253941
4,810,4.273272
4,825,4.292101
4,840,4.310443
4,855,4.328309
4,870,4.345713
4,885,4.362665
4,900,4.379178
4,915,4.395263
4,930,4.410931
4,945,4.426193
4,960,4.441061
4,975,4.455542
4,990,4.469648
4,1005,4.48339
4,1020,4.496775
4,1035,4.509813
4,1050,4.522513
4,1065,4.534885
4,1080,4.546936
4,1095,4.558675
4,1110,4.570109
4,1125,4.581248
4,1140,4.592098
4,1155,4.602666
4,1170,4.612961
4,1185,4.622989
4,1200,4.632757
4,1215,4.642272
4,1230,4.651541
4,1245,4.66057
4,1260,4.669364
4,1275,4.67793
4,1290,4.686275
4,1305,4.694404
4,1320,4.702322
4,1335,4.710034
4,1350,4.717547
4,1365,4.724865
4,1380,4.731994
4,1395,4.738938
4,1410,4.745702
4,1425,4.752291
4,1440,4.758709
5,0,3
5,15,3.103994
5,30,3.205469
5,45,3.304341
5,60,3.400709
5,75,3.494535
5,90,3.585979
5,105,3.675009
5,120,3.761739
5,135,3.84621
5,150,3.928461
5,165,4.008598
5,180,4.086603
5,195,4.162625
5,210,4.236604
5,225,4.308741
5,240,4.37899
5,255,4.447372
5,270,4.513921
5,285,4.578776
5,300,4.641922
5,315,4.703399
5,330,4.763249
5,345,4.82154
5,360,4.878303
5,375,4.933582
5,390,4.987417
5,405,5.039835
