"Time","mean","median","lowPerc","highPerc","legendMean","legendMedian","legendRange","Path"
0,0.003996,0.004,0.002,0.006,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
0.25,0.00415589579868317,0.00415994811058045,0.00210283887386322,0.00622087824344635,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
0.5,0.0043117701587677,0.00431590509414673,0.00220319101810455,0.00643605129718781,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
0.75,0.00446352404308319,0.00446776580810547,0.00230099860429764,0.00664537148475647,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
1,0.00461131659841538,0.00461564588546753,0.00239631180763245,0.00684902050495148,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
1.25,0.00475511596393585,0.00475955009460449,0.00248918013572693,0.00704698293209076,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
1.5,0.00489514876794815,0.00489968705177307,0.00257965590953827,0.00723960046768189,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
1.75,0.00503138889122009,0.00503601598739624,0.00266781882047653,0.00742677142620087,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
2,0.00516402798175812,0.00516877889633179,0.00275368320941925,0.00760890564918518,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
2.25,0.00529309575510025,0.00529791903495789,0.0028373721241951,0.00778585367202759,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
2.5,0.00541872087907791,0.00542368602752686,0.00291888662576675,0.00795805361270905,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
2.75,0.00554096509361267,0.00554601407051086,0.00299826413393021,0.00812534804344177,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
3,0.00565994278860092,0.00566514897346497,0.00307560057640076,0.00828813400268555,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
3.25,0.00577572749614716,0.00578102207183838,0.0031509181022644,0.00844630751609802,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
3.5,0.00588843274497986,0.00589392685890198,0.00322427629232407,0.00860022168159485,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
3.75,0.00599815390968323,0.00600380301475525,0.00329574757814407,0.00874989671707153,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
4,0.00610490948057175,0.00611068296432495,0.0033653755068779,0.00889535450935364,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
4.25,0.00620877254867554,0.00621464705467224,0.00343321045637131,0.00903668093681336,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
4.5,0.0063098550286293,0.00631588912010193,0.00349930018186569,0.00917417349815369,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
4.75,0.00640823183584213,0.00641439199447632,0.00356369831562042,0.00930781626701355,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
5,0.00650395432901383,0.0065102219581604,0.00362643951177597,0.00943770580291748,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
5.25,0.00659709863805771,0.00660346293449402,0.00368756539821625,0.00956395988464356,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
5.5,0.00668773881673813,0.00669421100616455,0.00374712764024735,0.00968671441078186,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
5.75,0.00677594723558426,0.00678252005577088,0.00380515086650848,0.00980605640411377,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
6,0.00686179254817963,0.00686846303939819,0.00386168234348297,0.0099220890045166,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
6.25,0.00694533905315399,0.00695209693908691,0.00391675882339478,0.010034886264801,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
6.5,0.00702664269828797,0.00703348302841187,0.00397041558027268,0.0101445480823517,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
6.75,0.00710576977682114,0.0071126971244812,0.00402268869876862,0.0102511857032776,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
