"IndividualId","Time [min]","Organism|A|Concentration [µmol/l]"
0,0,1
0,15,1.035896
0,30,1.071202
0,45,1.105891
0,60,1.139965
0,75,1.173438
0,90,1.206303
0,105,1.238586
0,120,1.270292
0,135,1.301415
0,150,1.331997
0,165,1.362018
0,180,1.391495
0,195,1.420448
0,210,1.448872
0,225,1.47677
0,240,1.504161
0,255,1.531064
0,270,1.557479
0,285,1.583414
0,300,1.608881
0,315,1.633891
0,330,1.658453
0,345,1.682575
0,360,1.706264
0,375,1.729527
0,390,1.752373
0,405,1.774812
0,420,1.796849
0,435,1.818488
0,450,1.839739
0,465,1.860609
0,480,1.881105
0,495,1.90123
0,510,1.920994
0,525,1.940402
0,540,1.959462
0,555,1.978177
0,570,1.996556
0,585,2.014605
0,600,2.032329
0,615,2.049733
0,630,2.066824
0,645,2.083609
0,660,2.100091
0,675,2.116276
0,690,2.132171
0,705,2.14778
0,720,2.163108
0,735,2.17816
0,750,2.192942
0,765,2.207458
0,780,2.221713
0,795,2.235711
0,810,2.249457
0,825,2.262957
0,840,2.276214
0,855,2.289232
0,870,2.302016
0,885,2.31457
0,900,2.326899
0,915,2.339005
0,930,2.350894
0,945,2.362569
0,960,2.374034
0,975,2.385293
0,990,2.396348
0,1005,2.407206
0,1020,2.417869
0,1035,2.428339
0,1050,2.43862
0,1065,2.448718
0,1080,2.458633
0,1095,2.46837
0,1110,2.477932
0,1125,2.487322
0,1140,2.496544
0,1155,2.505599
0,1170,2.514491
0,1185,2.523224
0,1200,2.531799
0,1215,2.54022
0,1230,2.548489
0,1245,2.55661
0,1260,2.564584
0,1275,2.572415
0,1290,2.580104
0,1305,2.587656
0,1320,2.595072
0,1335,2.602354
0,1350,2.609505
0,1365,2.616529
0,1380,2.623425
0,1395,2.630197
0,1410,2.636848
0,1425,2.643379
0,1440,2.649793
1,0,2
1,15,2.054264
1,30,2.107644
1,45,2.160085
1,60,2.211583
1,75,2.262183
1,90,2.311864
1,105,2.360625
1,120,2.408543
1,135,2.455583
1,150,2.501743
1,165,2.547106
1,180,2.591636
1,195,2.63533
1,210,2.67827
1,225,2.720421
1,240,2.761779
1,255,2.802423
1,270,2.84232
1,285,2.881468
1,300,2.919923
1,315,2.957675
1,330,2.99473
1,345,3.031094
1,360,3.066806
1,375,3.101867
1,390,3.136288
1,405,3.17008
1,420,3.203259
1,435,3.235834
1,450,3.26782
1,465,3.299228
1,480,3.330063
1,495,3.360339
1,510,3.390068
1,525,3.41926
1,540,3.447921
1,555,3.476062
1,570,3.503693
1,585,3.530826
1,600,3.557465
1,615,3.583621
1,630,3.609303
1,645,3.634521
1,660,3.65928
1,675,3.68359
1,690,3.707459
1,705,3.730897
1,720,3.753909
1,735,3.776503
1,750,3.798687
1,765,3.820471
1,780,3.841858
1,795,3.862857
1,810,3.883476
1,825,3.903723
1,840,3.9236
1,855,3.943117
1,870,3.962281
1,885,3.981098
1,900,3.999572
1,915,4.017712
1,930,4.035523
1,945,4.053012
1,960,4.070183
1,975,4.087042
1,990,4.103596
1,1005,4.119851
1,1020,4.135809
1,1035,4.151479
1,1050,4.166864
1,1065,4.181972
1,1080,4.196804
1,1095,4.211368
1,1110,4.225667
1,1125,4.239708
1,1140,4.253494
1,1155,4.267029
1,1170,4.28032
1,1185,4.29337
1,1200,4.306182
1,1215,4.318762
1,1230,4.331114
1,1245,4.343243
1,1260,4.355151
1,1275,4.366843
1,1290,4.378323
1,1305,4.389596
1,1320,4.400663
1,1335,4.41153
1,1350,4.4222
1,1365,4.432677
1,1380,4.442963
1,1395,4.453063
1,1410,4.462979
1,1425,4.472717
1,1440,4.482277
2,0,3
2,15,3.072929
2,30,3.144667
2,45,3.215134
2,60,3.284325
2,75,3.352298
2,90,3.419035
2,105,3.484531
2,120,3.548862
2,135,3.612031
2,150,3.674015
2,165,3.734875
2,180,3.794652
2,195,3.853307
2,210,3.910879
2,225,3.96744
2,240,4.02294
2,255,4.0774
2,270,4.130916
2,285,4.183431
2,300,4.234947
2,315,4.285553
2,330,4.335222
2,345,4.383966
2,360,4.431797
