"Time","mean","median","lowPerc","highPerc","legendMean","legendMedian","legendRange","Path"
0,0.00398,0.004,0.002,0.006,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
0.25,0.0041174667263031,0.00413798713684082,0.00207352868318558,0.00622087824344635,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
0.5,0.00425187518119812,0.00427295398712158,0.002145816218853,0.00643605129718781,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
0.75,0.00438312770605087,0.00440479588508606,0.00221680871248245,0.00664537148475647,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
1,0.00451131157636642,0.0045335750579834,0.00228651245832443,0.00684902050495148,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
1.25,0.00463645043849945,0.00465933203697205,0.00235495311021805,0.00704698293209076,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
1.5,0.00475864823579788,0.00478215003013611,0.002422118973732,0.00723960046768189,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
1.75,0.00487790466785431,0.00490204119682312,0.00248807734251022,0.00742677142620087,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
2,0.00499437981128693,0.00501916909217835,0.00255281481742859,0.00760890564918518,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
2.25,0.00510806298732758,0.00513347983360291,0.00261634534597397,0.00778585367202759,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
2.5,0.00521904700279236,0.00524514317512512,0.0026787345290184,0.00795805361270905,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
2.75,0.00532739730358124,0.00535415697097778,0.00273994681835175,0.00812534804344177,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
3,0.00543319219350815,0.00546061491966248,0.0028000473856926,0.00828813400268555,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
3.25,0.00553645055294037,0.00556455397605896,0.00285904731750488,0.00844630751609802,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
3.5,0.00563730586767197,0.00566611790657044,0.002916947889328,0.00860022168159485,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
3.75,0.00573577438116074,0.0057652599811554,0.0029737552523613,0.00874989671707153,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
4,0.00583188006401062,0.00586207914352417,0.00302952100038528,0.00889535450935364,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
4.25,0.00592571266889572,0.00595658993721008,0.00308425376415253,0.00903668093681336,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
4.5,0.00601733930110931,0.00604888606071472,0.00313796511888504,0.00917417349815369,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
4.75,0.00610678201675415,0.00613902592658997,0.00319067319631577,0.00930781626701355,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
5,0.00619410483121872,0.00622702312469482,0.00324240996837616,0.00943770580291748,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
5.25,0.00627936876058579,0.00631293082237244,0.00329319330453873,0.00956395988464355,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
5.5,0.00636261330842972,0.00639680790901184,0.00334304111003876,0.00968671441078186,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
5.75,0.0064438898396492,0.00647873210906983,0.00339197145700455,0.00980605640411377,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
6,0.00652325749397278,0.0065587329864502,0.00343999665975571,0.0099220890045166,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
6.25,0.00660076207876205,0.00663685393333435,0.00348714021444321,0.010034886264801,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
6.5,0.0066764440369606,0.00671314311027527,0.00353342022895813,0.0101445480823517,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
6.75,0.00675035529851914,0.00678765606880188,0.0035788568854332,0.0102511857032776,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
7,0.00682253968954086,0.00686044001579285,0.00362344819307327,0.0103548877716064,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
7.25,0.00689303631782532,0.00693152189254761,0.00366722178459168,0.0104556869029999,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
7.5,0.00696188737630844,0.00700095295906067,0.00371019374132156,0.0105537014961243,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
7.75,0.00702913758277893,0.00706876993179321,0.0037523783326149,0.0106490191936493,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
8,0.00709482223749161,0.00713502216339111,0.00379378130435944,0.010741707611084,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
8.25,0.00715897696256638,0.00719972705841065,0.00383442277908325,0.0108318119049072,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
8.5,0.00722164147138596,0.00726293897628784,0.00387431664466858,0.0109194293498993,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
8.75,0.00728285430192947,0.00732468390464783,0.00391347692012787,0.0110046381950378,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
9,0.00734264765262604,0.00738500499725342,0.00395191352367401,0.0110874941825867,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
9.25,0.00740105506896973,0.00744392609596253,0.0039896407365799,0.0111680515289307,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
9.5,0.00745810984611511,0.00750148892402649,0.00402667410373688,0.0112463861942291,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
9.75,0.00751384580135346,0.00755771899223328,0.00406302587985992,0.011322559261322,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
10,0.00756829382419586,0.00761265087127686,0.00409870607852936,0.0113966309070587,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
10.25,0.00762148525238037,0.00766631603240967,0.00413372864723206,0.0114686526298523,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
10.5,0.00767344861984253,0.00771874618530274,0.00416810722351074,0.0115386873722076,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
10.75,0.00772421393871307,0.00776996326446533,0.00420185256004334,0.0116067838191986,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
11,0.00777381006717682,0.0078199999332428,0.00423497393131256,0.0116729992866516,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
11.25,0.0078222652721405,0.00786888670921326,0.00426748752593994,0.0117373851776123,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
11.5,0.00786960505485535,0.00791664910316467,0.00429940156936646,0.0117999929904938,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
11.75,0.00791585645675659,0.00796330881118774,0.00433072760105133,0.011860865688324,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
12,0.00796104574203491,0.00800889611244202,0.00436147637367249,0.0119200521945953,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
12.25,0.00800519882202148,0.00805343699455261,0.00439165887832642,0.0119776047706604,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
12.5,0.00804833862781525,0.00809695529937744,0.00442128567695618,0.0120335652351379,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
12.75,0.00809049005508423,0.00813947200775147,0.00445036725997925,0.0120879748344421,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
13,0.00813167658805847,0.00818101191520691,0.00447891252040863,0.0121408783912659,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
13.25,0.00817192183017731,0.00822160196304321,0.00450693032741547,0.0121923196792603,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
13.5,0.00821124680042267,0.00826126194000244,0.00453443419933319,0.0122423369884491,"Simulated mean for A","Simulated median for A","Simulated [5-95th] percentiles for A","Organism|A|Concentration"
